detected,	ground_truth
1.46448421,	1.89170250
5.13001664,	5.81739435
6.56393073,	6.75932968
7.03141510,	7.58451314
6.35065059,	6.53704926
1.29037329,	1.09515647
8.32051201,	8.54140449
0.76776615,	1.34946973
0.96134512,	1.71985280
4.06676384,	4.26140043
3.86835139,	4.09637263
1.59741219,	1.43033928
3.91597269,	4.15330598
6.90242368,	7.14401879
5.45635184,	5.67330032
2.63506491,	3.14908848
3.30734887,	3.59222107
2.13927085,	2.47579054
1.56992434,	1.76425463
1.29429572,	1.81936812
3.05497222,	3.62569054
6.16857183,	6.45013589
4.15219986,	4.39677888
3.24219958,	3.60660267
5.24516570,	5.52370942
5.80883161,	5.52370942
3.88078448,	4.66875481
1.88017063,	2.14844743
0.16819154,	1.18263320
3.68399992,	3.97127280
3.36976452,	3.72588873
5.23131489,	5.50296392
6.31755424,	5.50296392
5.76300206,	6.00640664
2.76469869,	2.95340189
3.68883913,	3.88303495
1.78481727,	1.55587343
1.18237821,	1.54629557
5.90183440,	6.52209087
4.97609974,	5.21975768
0.84993903,	1.46297089
7.68353524,	6.52209087
7.68724269,	7.92509445
4.98648845,	5.18039100
6.08132554,	6.27316039
2.08329703,	2.49783231
2.77158010,	3.44063440
3.71957573,	3.90321537
3.77427686,	4.03631982
4.44276588,	4.68551042
5.97273839,	6.21436534
6.65344605,	6.87026663
6.28896932,	7.26820626
7.07786322,	7.26820626
4.55483979,	4.77839509
5.62412115,	5.81040483
6.18552913,	6.37025289
3.14635630,	3.72112219
4.94136420,	5.18655073
6.32365433,	5.18655073
4.02723607,	3.72112219
7.77489154,	8.87622267
8.70028493,	8.87622267
1.47099345,	2.11072275
4.49077748,	4.70027380
6.98828485,	7.38457525
6.41061801,	6.86346374
6.35061536,	6.54285738
7.07208436,	7.38457525
0.25240739,	1.25955341
2.55456050,	2.79373851
3.44831279,	2.79373851
