ground_truth, 	detected
3,				1.155
4,				1.435
4,				1.395
4.5,			1.524
5,				1.605
6,				5.264
6,				2.200
7,				5.264
7,				5.361
8,				6.094
8,				5.988
9,				7.678
10,				8.736
10,				8.853
9,				7.185
8,				5.737
7,				4.898
6,				2.479
5,				1.588
4,				1.365
3,				1.123
2,				0.968
3,				1.155
4,				1.475
5,				1.655
6,				4.115
7,				4.907
8,				6.232
9,				6.786
8,				5.961
7,				5.037
5,				1.667
4,				1.461
3,				1.258
2,				0.853
3,				1.272
4,				1.415
5,				1.613
6,				2.135
7,				5.135
8,				5.928
9,				6.626
10,				10.173
